Date,central_bank_total_assets ,currency_in_circulation,gov_deposits_with_cb ,srr_commercial_bank_deposits,reserve_money,narrow_money_m1,broad_money_m2,broad_money_m2b,quasi_money_public,net_foreign_assets,credit_to_government_net, credit_to_public_corporations,credit_to_private_sector,total_domestic_credit,broad_money_m4,net_credit_to_gov_central_bank,net_credit_to_gov_commercial_total,net_credit_to_gov_commercial_dbu,net_credit_to_gov_commercial_obu,credit_to_sobes_dbu,credit_to_sobes_obu,credit_to_private_dbu,credit_to_private_obu,m2b_other_items_net,nfa_monetary_authorities,nfa_commercial_banks_total,nfa_commercial_banks_dbu,nfa_commercial_banks_obu,reserve_money_yoy_pct,narrow_money_m1_yoy_pct,broad_money_m2_yoy_pct ,broad_money_m2b_yoy_pct,money_supply_foreign_assets_yoy_pct ,nfa_monetary_authorities_yoy_pct,nfa_commercial_banks_total_yoy_pct ,nfa_commercial_banks_dbu_yoy_pct,nfa_commercial_banks_obu_yoy_pct,net_domestic_assets_yoy_pct ,net_credit_to_gov_yoy_pct,net_credit_to_gov_cb_yoy_pct,net_credit_to_gov_commercial_total_yoy_pct,net_credit_to_gov_commercial_dbu_yoy_pct,net_credit_to_gov_commercial_obu_yoy_pct,credit_to_public_corporations_yoy_pct,credit_to_sobes_dbu_yoy_pct,credit_to_sobes_obu_yoy_pct,credit_to_private_sector_yoy_pct,credit_to_private_dbu_yoy_pct,credit_to_private_obu_yoy_pct,m2b_other_items_net_yoy_pct,
2009-12-01,"821,872.76","217,429.83",21.6,"86,085.87","303,537.30","336,710.04","1,536,755","1,806,168.93","1,469,458.89","401,879.65","640,326.36","73,232.89","1,194,188.66","1,907,747.91","2,279,975.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,"875,825.40","221,237.51",26.47,"87,925.84","309,189.82","339,755.41","1,551,744.07","1,800,605.93","1,460,850.52","377,293.78","657,823.61","76,319.02","1,194,805.99","1,928,948.62","2,282,594.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,"931,305.76","221,149.29",45.58,"89,613.67","310,808.54","340,895.84","1,565,386.80","1,814,776.30","1,473,880.46","355,697.28","669,955.58","90,092.15","1,211,159.38","1,971,207.11","2,300,205.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,"834,022.44","240,246.38",45.37,"88,560.97","328,852.72","362,751.75","1,600,964.03","1,851,671.37","1,488,919.62","362,346.24","656,725.72","96,932.41","1,233,554.60","1,987,212.73","2,342,678.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,"885,454.37","244,645.78",48.15,"80,310.81","325,004.74","351,919.62","1,603,309.53","1,868,861.99","1,516,942.37","364,191.48","655,566.03","106,056.08","1,240,613.72","2,002,235.83","2,364,080.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,"823,452.69","236,078.91",22.38,"94,507.03","330,608.31","354,591.16","1,622,304.25","1,875,268.45","1,520,677.30","345,554.05","675,048.77","102,808.72","1,248,411.05","2,026,268.54","2,373,441.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,"891,531.43","232,526.25",22.38,"90,358.34","322,906.98","348,403.96","1,637,896.55","1,881,429.56","1,533,025.60","342,032.40","683,912.15","111,617.05","1,264,143.48","2,059,672.67","2,384,737.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,"921,213.06","233,047.52",2.71,"98,762.95","331,813.17","351,176.40","1,650,967.36","1,916,381.81","1,565,205.41","334,952.16","689,757.74","108,108.65","1,288,249.97","2,086,116.36","2,425,995.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,"1,016,925.77","241,823.67",3.09,"94,971.36","336,798.13","361,268.62","1,679,209.75","1,939,710.38","1,578,441.76","330,398.18","697,386.06","108,113.58","1,324,469.10","2,129,968.74","2,450,671.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,"975,414.86","243,339.91",2.95,"95,128.32","338,471.17","373,834.42","1,718,989.27","1,971,922.63","1,598,088.21","347,192.13","693,081.24","106,102.62","1,359,926.42","2,159,110.27","2,493,586.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,"1,056,314.30","244,983.22",2.84,"103,448.95","348,435.01","380,159.23","1,742,357.32","2,007,826.81","1,627,667.58","419,066.49","594,461.71","122,806.33","1,411,259.51","2,128,527.55","2,535,570.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-01,"1,010,955.53","247,274.81",8.98,"96,806.73","344,090.52","380,660.39","1,763,573.94","2,022,307.41","1,641,647.03","374,299.93","564,448.30","138,182.48","1,457,380.80","2,160,011.58","2,557,481.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-01,"985,406.54","255,652.22",5.71,"104,853.45","360,511.37","407,191.71","1,812,999.83","2,091,407.83","1,684,216.12","377,441.93","627,184.52","144,577.97","1,491,098.55","2,262,861.05","2,636,030.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,"983,990.90","253,223.15",26.7,"109,635.82","362,885.67","407,797.87","1,832,033.54","2,101,054.94","1,693,257.08","344,394.89","604,551.12","137,243.66","1,526,844.81","2,268,639.60","2,659,299.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,"1,009,523.43","263,409.80",22.11,"102,651.95","366,083.85","415,111.74","1,863,091.55","2,136,097.14","1,720,985.40","335,050.24","645,643.69","134,589.19","1,566,642.60","2,346,875.48","2,695,455.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,"1,014,050.43","282,869.73",7.3,"99,262.94","382,139.96","419,143.21","1,899,804.45","2,176,198.84","1,757,055.63","334,192.59","659,223.38","127,216.80","1,598,866.75","2,385,306.93","2,748,975.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,"1,062,516.36","289,405.60",7.91,"116,041.13","405,454.64","423,523.17","1,935,746.92","2,212,071.39","1,788,548.22","333,850.91","697,693.22","124,980.13","1,626,225.76","2,448,899.10","2,789,835.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-01,"1,030,129.77","275,051.51",7.29,"124,969.75","400,028.55","423,226.01","1,957,064.38","2,239,036.21","1,815,810.20","308,868.17","708,238.23","128,466.69","1,659,701.17","2,496,406.09","2,824,079.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-01,"1,204,487.33","271,037.43",7.26,"126,149.77","397,194.45","420,953.69","1,992,454.62","2,270,914.17","1,849,960.48","271,337.60","734,782.60","154,973.04","1,697,896.53","2,587,652.17","2,861,471.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,"1,207,931.12","275,719.76",7.33,"137,445.01","413,172.10","432,965.43","2,025,945.11","2,312,285.19","1,879,319.77","324,405.03","731,215.96","143,365.89","1,724,773.43","2,599,355.27","2,910,228.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-01,"1,292,781.43","285,350.35",6.33,"134,580.29","419,936.97","436,470.54","2,059,413.24","2,339,670.20","1,903,199.66","300,160.91","773,009.44","141,465.29","1,775,650.76","2,690,125.48","2,947,501.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-01,"1,158,360.00","283,919.75",1.28,"138,356.75","422,277.78","435,365.19","2,091,126.73","2,379,865.28","1,944,500.08","231,707.34","796,410.95","140,983.84","1,827,971.64","2,765,366.47","2,996,886.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,"1,209,126.17","289,352.31",6.98,"136,100.12","425,459.41","434,111.46","2,116,658.19","2,404,951.55","1,970,840.09","213,237.39","787,485.89","161,178.71","1,882,518.07","2,831,182.67","3,028,852.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,"1,140,201.80","284,464.53",2.12,"135,878.79","420,345.43","424,687.15","2,139,727.97","2,438,667.62","2,013,980.47","168,083.59","801,533.03","179,302.29","1,945,693.26","2,926,528.59","3,067,513.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-01,"1,141,717.20","293,233.36",1.75,"146,269.19","439,504.30","438,707.44","2,192,603.08","2,491,739.85","2,053,032.41","98,057.29","833,609.98","198,499.62","2,005,860.07","3,037,969.67","3,135,821.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,"1,173,345.58","290,901.11",1.77,"143,995.77","434,898.66","431,679.95","2,216,985.78","2,523,084.02","2,091,404.08","53,270.15","926,775.04","201,727.76","2,050,441.45","3,178,944.25","3,175,655.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,"1,245,738.56","296,741.15",1.49,"142,663.93","439,406.57","436,838.16","2,270,719.93","2,604,656.38","2,167,818.22","43,097.59","969,958.23","218,299.17","2,105,739.61","3,293,997.00","3,262,641.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,"1,261,910.29","315,363.48",1.24,"155,781.78","471,146.50","448,621.37","2,321,171.49","2,672,826.61","2,224,205.23","19,540.38","996,481.78","247,062.84","2,161,087.80","3,404,632.42","3,335,956.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-01,"1,363,259.86","309,529.33",445.87,"139,331.46","449,306.66","444,198.27","2,353,485.22","2,719,167.43","2,274,969.16","20,491.30","1,028,529.35","257,209.64","2,179,776.29","3,465,515.28","3,393,661.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-01,"1,298,414.28","300,766.67",3.8,"148,708.93","449,479.41","434,873.01","2,351,369.88","2,707,158.76","2,272,285.76",-27760.62,"1,024,824.78","266,873.29","2,215,882.84","3,507,580.91","3,387,451.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-01,"1,392,288.48","297,323.53",3.72,"160,198.89","457,526.14","432,779.88","2,381,342.88","2,737,070.07","2,304,290.19",-69830.14,"1,010,278.94","275,597.32","2,234,918.98","3,520,795.24","3,420,506.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-01,"1,487,855.16","303,094.92",3.84,"160,313.87","463,412.63","437,863.91","2,410,233.16","2,770,896.64","2,333,032.73",-13923.65,"998,818.86","261,500.86","2,270,624.46","3,530,944.19","3,465,409.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,"1,446,545.09","310,386.98",3.28,"162,559.92","472,950.17","438,964.63","2,439,376.84","2,813,408.60","2,374,443.97",-14900.77,"1,031,464.35","263,847.14","2,285,096.06","3,580,407.54","3,517,320.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,"1,434,287.88","306,960.95",3.64,"166,177.13","473,141.73","439,753.28","2,455,009.54","2,828,650.89","2,388,897.62",-30210.94,"1,035,126.64","271,889.68","2,294,903.54","3,601,919.85","3,543,901.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,"1,339,505.61","306,059.01",3.72,"165,053.45","471,116.18","425,437.81","2,463,315.57","2,842,561.59","2,417,123.79",-24119.01,"1,042,724.58","254,599.63","2,324,437.68","3,621,761.89","3,571,265.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-01,"1,301,593.45","304,739.38",4.1,"172,147.36","476,890.83","430,016.59","2,529,841.56","2,880,656.87","2,450,640.28",-25021.05,"1,054,956.21","261,105.48","2,348,498.27","3,664,559.95","3,615,075.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-01,"1,284,447.91","318,060.14",13.92,"166,288.38","484,362.44","450,048.81","2,593,184.86","2,929,070.18","2,479,021.37",-25831.12,"1,045,232.25","292,477.21","2,358,421.42","3,696,130.88","3,685,041.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,"1,301,958.61","309,377.63",13.34,"174,705.02","484,096.00","440,600.04","2,627,393.93","2,984,631.78","2,544,031.73","-22,163.25","1,087,317.27","291,441.32","2,368,108.47","3,746,867.06","3,763,858.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,"1,293,527.25","312,007.69",13.71,"174,706.83","486,728.22","447,401.95","2,688,229.40","3,048,073.81","2,600,671.86","-43,901.34","1,115,426.49","300,004.71","2,386,082.19","3,801,513.38","3,832,081.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,"1,280,408.88","332,261.00",1.51,"180,133.41","512,395.91","465,412.58","2,749,442.04","3,089,745.99","2,624,333.41","-105,577.46","1,180,464.96","335,509.97","2,395,580.15","3,911,555.07","3,880,633.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,"1,274,810.29","328,463.34",2.61,"171,821.68","500,287.64","453,084.66","2,788,337.47","3,132,660.33","2,679,575.67","-95,174.19","1,217,208.48","344,558.28","2,403,200.35","3,964,967.10","3,931,508.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,"1,225,902.51","318,444.88",2.5,"188,763.92","507,211.30","442,608.18","2,799,417.23","3,147,468.74","2,704,860.55","-112,123.57","1,226,837.65","328,729.37","2,421,509.05","3,977,076.07","3,955,102.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,"1,187,037.70","313,024.10",2.68,"187,274.44","500,301.22","444,042.84","2,843,835.27","3,169,809.67","2,725,766.84","-169,033.65","1,263,639.62","334,296.01","2,432,953.15","4,030,888.78","3,993,006.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,"1,150,167.08","316,965.56",9.82,"139,130.65","456,106.03","444,753.21","2,875,610.05","3,225,521.38","2,780,768.17","-197,859.44","1,304,383.81","363,567.19","2,461,406.35","4,129,357.34","4,063,182.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,"1,222,238.21","323,622.03",0.97,"142,960.91","466,583.92","453,092.37","2,883,489.76","3,244,571.21","2,791,478.84","-216,591.28","1,342,599.43","364,274.60","2,464,618.10","4,171,492.13","4,095,640.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,"1,203,914.97","322,886.09",15.47,"142,841.14","465,742.70","459,838.78","2,937,208.35","3,289,131.97","2,829,293.19","-87,899.29","1,292,337.86","339,341.10","2,469,515.17","4,101,194.13","4,146,534.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,"1,268,976.94","325,073.64",1.42,"141,776.57","466,851.64","481,313.78","3,002,427.41","3,362,500.91","2,881,187.14","-51,176.82","1,329,024.24","326,799.26","2,496,746.26","4,152,569.76","4,222,082.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,"1,183,638.86","323,728.16",1,"148,268.10","471,997.26","454,371.76","2,997,741.13","3,363,136.47","2,908,764.71","-63,554.44","1,325,492.69","308,006.60","2,518,975.02","4,152,474.31","4,225,167.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,"1,246,007.53","339,770.98",4.74,"148,809.89","488,585.61","484,578.01","3,058,792.83","3,417,852.83","2,933,274.82","-76,325.07","1,301,341.80","365,098.09","2,534,342.62","4,200,782.50","4,283,265.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,"1,356,879.02","335,843.50",21.58,"149,314.70","485,179.78","480,883.07","3,094,569.83","3,460,811.54","2,979,928.48",-22966.21,"1,369,662.24","358,502.10","2,491,574.81","4,219,739.15","4,347,135.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01,"1,378,273.14","340,982.42",14.51,"153,618.32","494,615.25","491,638.88","3,120,240.64","3,495,405.56","3,003,766.68","68,784.99","1,344,574.67","339,819.10","2,490,656.88","4,175,050.64","4,402,081.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-01,"1,390,208.27","370,648.91",15.53,"150,887.95","521,552.38","511,410.06","3,165,810.26","3,538,064.90","3,026,654.84","96,176.26","1,393,185.48","329,962.60","2,498,271.39","4,221,419.47","4,466,178.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,"1,496,923.00","361,430.97",12.42,"153,895.82","515,339.21","507,395.62","3,175,118.51","3,546,480.67","3,039,085.05","124,166.34","1,386,359.24","333,098.59","2,479,589.12","4,199,046.95","4,489,969.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-01,"1,463,705.96","355,129.42",12.39,"144,357.67","499,499.48","503,931.29","3,178,773.04","3,555,525.29","3,051,594.00","159,074.88","1,374,907.07","332,650.24","2,471,354.45","4,178,911.75","4,509,632.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01,"1,468,816.75","356,438.15",12.26,"151,216.22","507,666.62","519,222.41","3,214,316.42","3,592,830.18","3,073,607.78","163,560.71","1,377,401.37","351,880.86","2,479,093.26","4,208,375.50","4,553,119.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,"1,512,352.54","372,066.13",12.23,"152,427.30","524,505.66","522,222.50","3,230,603.84","3,608,027.59","3,085,805.09","201,968.51","1,402,207.53","329,749.69","2,479,032.42","4,210,989.63","4,583,297.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,"1,523,648.35","374,038.95",1.73,"158,014.72","532,055.40","540,676.24","3,259,844.25","3,642,182.40","3,101,506.16","212,683.23","1,362,240.95","341,095.49","2,526,417.48","4,229,753.92","4,630,613.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,"1,451,861.19","376,811.66",8.18,"160,067.68","536,887.53","539,970.14","3,316,759.92","3,709,640.59","3,169,670.46","149,534.43","1,388,662.41","367,424.41","2,578,356.54","4,334,443.36","4,705,692.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,"1,498,894.89","382,427.87",8.53,"165,237.91","547,674.31","546,482.72","3,351,268.18","3,747,630.56","3,201,147.85","93,351.04","1,401,375.34","407,949.24","2,620,036.80","4,429,361.38","4,753,098.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,"1,454,701.57","392,488.86",8.56,"159,352.52","551,849.94","568,262.82","3,398,549.05","3,794,824.41","3,226,561.58","27,222.27","1,425,107.82","435,619.63","2,677,570.99","4,538,298.44","4,808,355.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,"1,464,295.27","416,895.36",7.3,"161,009.32","577,911.99","612,155.36","3,460,557.80","3,875,853.24","3,263,697.88","15,126.05","1,435,899.71","450,923.74","2,753,322.19","4,640,145.64","4,897,695.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,"1,391,759.39","412,521.10",7.39,"163,576.06","576,104.55","597,195.12","3,467,555.68","3,896,006.60","3,298,811.49",-118286.7,"1,557,502.80","473,691.07","2,774,371.76","4,805,565.63","4,934,686.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,"1,422,078.11","419,013.78",2.16,"163,938.27","582,954.21","596,678.50","3,492,558.75","3,926,630.22","3,329,951.73",-121587.79,"1,644,791.68","486,726.05","2,798,682.27","4,930,200.01","4,970,688.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,"1,311,602.96","455,811.00",7.23,"163,742.43","619,560.67","633,325.35","3,553,629.07","3,980,651.18","3,347,325.84",-162043.11,"1,613,147.72","490,313.54","2,839,513.71","4,942,974.97","5,031,689.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,"1,387,082.86","449,139.94",2.98,"163,512.43","612,655.34","630,298.36","3,593,405.46","4,038,159.69","3,407,861.33",-171335.2,"1,626,750.31","503,570.57","2,853,803.48","4,984,124.36","5,106,941.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,"1,228,931.85","437,795.88",3.89,"152,012.35","589,812.12","630,804.43","3,641,271.03","4,102,787.61","3,471,983.18",-176961.25,"1,662,710.88","502,872.72","2,902,175.78","5,067,759.38","5,183,663.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,"1,316,938.80","438,491.43",2.39,"169,551.31","608,045.13","629,400.91","3,677,477.76","4,141,100.57","3,511,699.67",-205498.86,"1,673,771.21","488,987.94","2,956,820.04","5,119,579.18","5,238,505.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,"1,235,077.67","455,961.81",52.53,"174,317.17","630,331.50","642,057.96","3,732,237.66","4,193,878.37","3,551,820.41",-241248.54,"1,735,573.58","482,148.24","2,997,694.70","5,215,416.53","5,313,306.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,"1,239,090.62","464,029.89",14.14,"173,182.48","637,226.51","649,992.70","3,783,870.19","4,252,506.89","3,602,514.19",-278842.75,"1,735,631.00","489,126.62","3,062,138.85","5,286,896.47","5,390,732.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,"1,396,077.75","465,638.60",7.16,"174,845.65","640,491.40","660,445.35","3,821,803.42","4,305,002.99","3,644,557.64",-362660.35,"1,778,441.14","531,988.93","3,149,597.62","5,460,027.69","5,434,796.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,"1,375,133","465,383",4,"179,028","644,414","665,082","3,877,680","4,384,849","3,719,767",-398432,"1,810,219","537,707.25","3,307,758.43","5,655,684","5,513,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,"1,433,267","466,361",535.9,"184,228","651,125","669,427","3,945,726","4,447,629","3,778,202",-313488,"1,704,783","531,279.71","3,398,714.55","5,634,777","5,586,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,"1,426,259","491,700",5.1,"181,727","673,432","714,988","4,057,212","4,565,917","3,850,929",-298163,"1,759,492","530,668.57","3,441,874.21","5,732,034","5,720,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,"1,406,107","482,807",6.6,"235,748","718,561","692,391","4,102,952","4,638,282","3,945,892",-360378,"1,868,032","535,126.40","3,485,640.55","5,888,799","5,782,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
